date,observedPopulation,totalViruses,virusesPerPerson
2021-01-06,186246,1261974706755,6775848.645098418
2021-01-08,186246,1644207737676,8828150.60552173
2021-01-09,186246,2022763124166,10860706.399954898
2021-01-12,186246,3142458328290,16872621.84578461
2021-01-13,186246,2954408059215,15862934.286991399
2021-01-15,186246,1355982721860,7280600.506104829
2021-01-16,186246,1436321601240,7711959.458136014
2021-01-19,186246,1381462634049,7417408.3419187525
2021-01-20,186246,1147519414164,6161310.386070036
2021-01-23,186246,1639979352753,8805447.38009407
2021-01-26,186246,1392900480111,7478820.914870655
2021-01-27,186246,762201207831,4092443.3696884764
2021-01-29,186246,858838260672,4611311.172707065
2021-01-30,186246,2011271938062,10799007.431364968
2021-02-02,186246,1787914875777,9599749.126300698
2021-02-03,186246,724366102332,3889297.5007892787
2021-02-12,186246,737136842244,3957866.704487613
2021-02-13,186246,896714524524,4814678.030797977
2021-02-16,186246,812154006951,4360652.078170806
2021-02-17,186246,341854231161,1835498.3793531137
2021-02-19,186246,369939513099,1986295.078009729
2021-02-20,186246,300315785109,1612468.3757449824
2021-02-23,186246,81413853798,437130.75071679393
2021-02-24,186246,197154634263,1058571.1062949002
2021-02-26,186246,230682983838,1238592.9568312876
2021-02-27,186246,454465306668,2440134.5890274155
2021-03-02,186246,664264358466,3566596.643503753
2021-03-03,186246,474319224951,2546735.097403434
2021-03-05,186246,267013027335,1433657.7823684805
2021-03-06,186246,210055421670,1127838.5665732417
2021-03-09,186246,543714756735,2919336.5588254244
2021-03-10,186246,640242684180,3437618.441094037
2021-03-12,186246,426600892425,2290523.7826584196
2021-03-13,186246,344025428700,1847156.0661705486
2021-03-16,186246,576064815636,3093031.8806095165
2021-03-17,186246,491136014166,2637028.522309204
2021-03-19,186246,786507587628,4222950.225121614
2021-03-20,186246,892941068118,4794417.427048097
2021-03-23,186246,350563761990,1882261.9653039528
2021-03-24,186246,297315238875,1596357.7143938662
2021-03-26,186246,177524929593,953174.4552527303
2021-03-27,186246,64816170063,348013.75633839116
2021-03-30,186246,92593342038,497156.13778550946
2021-03-31,186246,259959449043,1395785.4077027158
2021-04-01,186246,331902148641,1782063.2316452435
2021-04-03,186246,141088823871,757540.1558744885
2021-04-06,186246,140629589214,755074.4134853903
2021-04-07,186246,651947428944,3500464.0579878227
2021-04-09,186246,755234984154,4055040.0231629135
2021-04-10,186246,562926351024,3022488.2737025223
2021-04-13,186246,492612891276,2644958.234141941
2021-04-14,186246,198160708371,1063972.9624851004
2021-04-16,186246,87037798809,467327.0771399117
2021-04-17,186246,372497267289,2000028.2813536935
2021-04-20,186246,382923933483,2056011.5840501273
2021-04-21,186246,182593693143,980389.8775973712
2021-04-23,186246,288317841015,1548048.5004510165
2021-04-24,186246,279166212240,1498911.1832737348
2021-04-27,186246,108315751542,581573.5722753777
2021-04-30,186246,255532223427,1372014.5583099772
2021-05-01,186246,400149470967,2148499.677668245
2021-05-04,186246,243217494129,1305893.7863309816
2021-05-05,186246,84799346079,455308.28087046166
2021-05-07,186246,84259469910,452409.5546213073
2021-05-08,186246,14980813080,80435.62320801521
2021-05-11,186246,15858102087,85146.00091814052
2021-05-12,186246,15880587927,85266.73285332302
2021-05-14,186246,14902106325,80013.02752810798
2021-05-15,186246,123065374920,660767.8818337038
2021-05-18,186246,122840406981,659559.9743403886
2021-05-19,186246,115390242801,619558.2337392481
2021-05-21,186246,115300302510,619075.3224767243
2021-05-22,186246,15160803225,81402.03400341484
2021-05-25,186246,15576904050,83636.1803743436
2021-05-26,186246,16589091165,89070.85878354435
2021-05-28,186246,16634000226,89311.98643729261
2021-06-01,186246,39042333645,209627.76996552947
2021-06-04,186246,19355848746,103926.25208595084
2021-06-08,186246,183677224113,986207.6184884508
2021-06-11,186246,17938680099,96317.12949002931
2021-06-15,186246,14589527943,78334.71829193647
2021-06-17,186246,14161002699,76033.86219838279
2021-06-19,186246,14710932834,78986.57063238943
2021-06-22,186246,16397926857,88044.45119358267
2021-06-26,186246,165001175028,885931.3758577366
2021-06-30,186246,946259830389,5080698.809042878
2021-07-03,186246,149657089998,803545.2573370703
2021-07-07,186246,82470767850,442805.57891176187
2021-07-10,186246,33886753341,181946.20738700428
2021-07-14,186246,358058066814,1922500.7077413744
2021-07-17,186246,133821320316,718519.1645243388
2021-07-21,186246,110672854704,594229.4315260462
2021-07-24,186246,699577572594,3756201.8652427434
