date,observedPopulation,totalViruses,virusesPerPerson
2021-01-06,550000,13717476300000,24940866
2021-01-09,550000,7197656950000,13086649
2021-01-13,550000,11005947700000,20010814
2021-01-16,550000,8500423800000,15455316
2021-01-20,550000,4752911350000,8641657
2021-01-23,550000,5492597000000,9986540
2021-01-27,550000,6113104250000,11114735
2021-01-30,550000,1468887750000,2670705
2021-02-03,550000,2986523650000,5430043
2021-02-13,550000,4302508650000,7822743
2021-02-17,550000,3182046450000,5785539
2021-02-20,550000,1297530300000,2359146
2021-02-24,550000,1497309000000,2722380
2021-02-27,550000,1070055250000,1945555
2021-03-03,550000,182042300000,330986
2021-03-06,550000,245496350000,446357
2021-03-10,550000,923706300000,1679466
2021-03-13,550000,1433724600000,2606772
2021-03-17,550000,289194950000,525809
2021-03-20,550000,3550318750000,6455125
2021-03-24,550000,2080043900000,3781898
2021-03-27,550000,3388761750000,6161385
2021-03-31,550000,344974850000,627227
2021-04-03,550000,288152700000,523914
2021-04-07,550000,1181961000000,2149020
2021-04-10,550000,1498782450000,2725059
2021-04-14,550000,1016422000000,1848040
2021-04-17,550000,1031776350000,1875957
2021-04-21,550000,773363250000,1406115
2021-04-24,550000,304412350000,553477
2021-04-27,550000,501637950000,912069
2021-05-01,550000,660761750000,1201385
2021-05-05,550000,659487400000,1199068
2021-05-08,550000,49598450000,90179
2021-05-12,550000,49913600000,90752
2021-05-15,550000,50003250000,90915
2021-05-19,550000,50813400000,92388
2021-05-22,550000,206801100000,376002
2021-05-26,550000,52848950000,96089
2021-05-27,550000,236653450000,430279
2021-06-04,550000,59406050000,108011
2021-06-08,550000,230407100000,418922
2021-06-10,550000,51934300000,94426
2021-06-15,550000,252467600000,459032
2021-06-17,550000,51038350000,92797
2021-06-22,550000,226158350000,411197
2021-06-25,550000,293213800000,533116
2021-06-30,550000,669297200000,1216904
2021-07-02,550000,873330150000,1587873
2021-07-10,550000,233076250000,423775
2021-07-14,550000,1718110350000,3123837
2021-07-16,550000,236731000000,430420
2021-07-21,550000,2031411250000,3693475
2021-07-23,550000,2007108950000,3649289
2021-07-28,550000,4238230150000,7705873
2021-07-30,550000,3926953250000,7139915
2021-08-04,550000,4718555600000,8579192
2021-08-06,550000,5492682800000,9986696
2021-08-11,550000,7963502800000,14479096
2021-08-13,550000,4369411750000,7944385
2021-08-18,550000,7299850800000,13272456
2021-08-20,550000,1968801450000,3579639
2021-08-25,550000,3938947100000,7161722
2021-08-27,550000,3988751250000,7252275
2021-09-01,550000,2009860050000,3654291
2021-09-03,550000,29451698100000,53548542
2021-09-11,550000,4402842400000,8005168
2021-09-15,550000,7030799050000,12783271
2021-09-24,550000,7255573600000,13191952
2021-09-29,550000,4922912500000,8950750
2021-10-01,550000,5620310850000,10218747
2021-10-06,550000,3488665400000,6343028
2021-10-15,550000,3717692550000,6759441
2021-10-20,550000,2324148200000,4225724
2021-10-21,588431,2457563827689,4176468.995836385
2021-10-22,588431,1407788727689,2392444.8706628303
2021-10-26,588431,1491991447240,2535541.8855226864
2021-10-27,588431,770810547240,1309942.1125671489
2021-10-28,588431,628732155729,1068489.1783896498
2021-11-02,588431,619863729519,1053417.8680575972
