date,observedPopulation,totalViruses,virusesPerPerson
2021-01-06,736246,14979451006755,20345714.62086721
2021-01-08,736246,15361684037676,20864879.45289482
2021-01-09,736246,9220420074166,12523558.802582288
2021-01-12,736246,10340115278290,14044375.491737816
2021-01-13,736246,13960355759215,18961536.98521282
2021-01-15,736246,12361930421860,16790489.07818854
2021-01-16,736246,9936745401240,13496501.714426972
2021-01-19,736246,9881886434049,13421989.978959478
2021-01-20,736246,5900430764164,8014210.962319659
2021-01-23,736246,7132576352753,9687762.449986825
2021-01-26,736246,6885497480111,9352169.62823703
2021-01-27,736246,6875305457831,9338326.398827294
2021-01-29,736246,6971942510672,9469582.871312033
2021-01-30,736246,3480159688062,4726897.922789394
2021-02-02,736246,3256802625777,4423525.052464801
2021-02-03,736246,3710889752332,5040285.111677347
2021-02-12,736246,3723660492244,5057630.862842039
2021-02-13,736246,5199223174524,7061801.591484368
2021-02-16,736246,5114662656951,6946947.972486098
2021-02-17,736246,3523900681161,4786308.762507369
2021-02-19,736246,3551985963099,4824455.36288007
2021-02-20,736246,1597846085109,2170261.1424836265
2021-02-23,736246,1378944153798,1872939.4167139789
2021-02-24,736246,1694463634263,2301491.1242478737
2021-02-26,736246,1727991983838,2347030.725923129
2021-02-27,736246,1524520556668,2070667.3539387651
2021-03-02,736246,1734319608466,2355625.169394469
2021-03-03,736246,656361524951,891497.5768302985
2021-03-05,736246,449055327335,609925.6598134319
2021-03-06,736246,455551771670,618749.4012463226
2021-03-09,736246,789211106735,1071939.4152701679
2021-03-10,736246,1563948984180,2124220.687351782
2021-03-12,736246,1350307192425,1834043.5023416087
2021-03-13,736246,1777750028700,2414614.1761041824
2021-03-16,736246,2009789415636,2729779.741602671
2021-03-17,736246,780330964166,1059878.0355560505
2021-03-19,736246,1075702537628,1461064.016141344
2021-03-20,736246,4443259818118,6035020.656299661
2021-03-23,736246,3900882511990,5298341.195728058
2021-03-24,736246,2377359138875,3229028.258048261
2021-03-26,736246,2257568829593,3066324.0677613188
2021-03-27,736246,3453577920063,4690793.457707071
2021-03-30,736246,3481355092038,4728521.570287649
2021-03-31,736246,604934299043,821646.9753900191
